
2021/10/27 (15:16:49) | ===> btop++ v.1.0.19
2021/10/27 (15:16:49) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2021/11/13 (14:57:33) | ===> btop++ v.1.0.20
2021/11/13 (14:57:33) | ERROR: Stall in Runner thread, restarting!
2021/11/13 (15:06:40) | ERROR: Stall in Runner thread, restarting!
2021/11/13 (15:16:08) | ERROR: Stall in Runner thread, restarting!
2021/11/13 (15:22:52) | ERROR: Stall in Runner thread, restarting!

2021/11/17 (17:54:21) | ===> btop++ v.1.0.20
2021/11/17 (17:54:21) | ERROR: Stall in Runner thread, restarting!

2021/11/28 (17:39:11) | ===> btop++ v.1.1.1
2021/11/28 (17:39:11) | ERROR: Stall in Runner thread, restarting!

2022/06/02 (19:30:34) | ===> btop++ v.1.2.7
2022/06/02 (19:30:34) | ERROR: Stall in Runner thread, restarting!
2022/06/02 (19:30:48) | ERROR: Stall in Runner thread, restarting!
2022/06/02 (19:30:59) | ERROR: Stall in Runner thread, restarting!
2022/06/02 (19:31:12) | ERROR: Stall in Runner thread, restarting!
2022/06/02 (19:31:36) | ERROR: Stall in Runner thread, restarting!
2022/06/02 (19:31:38) | WARNING: Failed to join _runner thread on exit!

2022/06/06 (00:58:41) | ===> btop++ v.1.2.7
2022/06/06 (00:58:41) | ERROR: Stall in Runner thread, restarting!

2022/07/16 (16:03:20) | ===> btop++ v.1.2.8
2022/07/16 (16:03:20) | ERROR: Stall in Runner thread, restarting!

2022/07/28 (21:29:48) | ===> btop++ v.1.2.8
2022/07/28 (21:29:48) | ERROR: Stall in Runner thread, restarting!
